1,0.045,1389793804,user_group-1,0.035790,,{'get_tweets': 0.034034013748168945}
2,0.058,1389793804,user_group-1,0.012208,,{'get_tweets': 0.011933088302612305}
3,0.072,1389793804,user_group-2,0.057796,Bad Response: HTTP 201,{'post_tweet': 0.019639968872070312, 'get_tweets': 0.03588294982910156}
4,0.079,1389793804,user_group-1,0.020427,,{'get_tweets': 0.020179033279418945}
5,0.091,1389793804,user_group-1,0.012563,,{'get_tweets': 0.01229405403137207}
6,0.105,1389793804,user_group-2,0.032739,Bad Response: HTTP 201,{'post_tweet': 0.020061969757080078, 'get_tweets': 0.011979818344116211}
7,0.112,1389793804,user_group-1,0.020018,,{'get_tweets': 0.019773006439208984}
8,0.127,1389793804,user_group-1,0.015253,,{'get_tweets': 0.014978885650634766}
9,0.142,1389793804,user_group-2,0.036485,Bad Response: HTTP 201,{'post_tweet': 0.022580862045288086, 'get_tweets': 0.013278961181640625}
10,0.159,1389793804,user_group-1,0.032255,,{'get_tweets': 0.031685829162597656}
11,0.180,1389793804,user_group-2,0.053849,Bad Response: HTTP 201,{'post_tweet': 0.02721691131591797, 'get_tweets': 0.025753021240234375}
12,0.186,1389793804,user_group-1,0.025992,,{'get_tweets': 0.02566695213317871}
13,0.200,1389793804,user_group-2,0.057855,Bad Response: HTTP 201,{'post_tweet': 0.034036874771118164, 'get_tweets': 0.023152828216552734}
14,0.213,1389793804,user_group-1,0.027340,,{'get_tweets': 0.02711200714111328}
15,0.234,1389793804,user_group-2,0.054291,Bad Response: HTTP 201,{'post_tweet': 0.02719402313232422, 'get_tweets': 0.026484966278076172}
16,0.241,1389793804,user_group-1,0.027651,,{'get_tweets': 0.02729487419128418}
17,0.257,1389793804,user_group-2,0.056457,Bad Response: HTTP 201,{'post_tweet': 0.03673696517944336, 'get_tweets': 0.019060850143432617}
18,0.282,1389793804,user_group-1,0.040873,,{'get_tweets': 0.04064488410949707}
19,0.303,1389793804,user_group-2,0.068464,Bad Response: HTTP 201,{'post_tweet': 0.036798954010009766, 'get_tweets': 0.03107595443725586}
20,0.317,1389793804,user_group-2,0.079146,Bad Response: HTTP 201,{'post_tweet': 0.04241585731506348, 'get_tweets': 0.036125898361206055}
21,0.324,1389793804,user_group-1,0.041595,,{'get_tweets': 0.04137301445007324}
22,0.338,1389793804,user_group-2,0.080729,Bad Response: HTTP 201,{'post_tweet': 0.04916191101074219, 'get_tweets': 0.031003952026367188}
23,0.358,1389793804,user_group-1,0.034016,,{'get_tweets': 0.03375101089477539}
24,0.381,1389793804,user_group-2,0.078149,Bad Response: HTTP 201,{'post_tweet': 0.03649306297302246, 'get_tweets': 0.040960073471069336}
