1,0.073,1390920287,user_group-1,0.053273,,{'get_tweets': 0.05121493339538574}
2,0.121,1390920287,user_group-1,0.047258,,{'get_tweets': 0.04698681831359863}
3,0.146,1390920287,user_group-1,0.024491,,{'get_tweets': 0.024096965789794922}
4,0.151,1390920287,user_group-2,0.138534,,{'post_tweet': 0.07580876350402832, 'get_tweets': 0.05982398986816406}
5,0.171,1390920287,user_group-1,0.024942,,{'get_tweets': 0.024667978286743164}
6,0.196,1390920287,user_group-1,0.024431,,{'get_tweets': 0.024182796478271484}
7,0.218,1390920287,user_group-2,0.091617,,{'post_tweet': 0.0530390739440918, 'get_tweets': 0.037956953048706055}
8,0.235,1390920287,user_group-1,0.038915,,{'get_tweets': 0.03856396675109863}
9,0.279,1390920287,user_group-1,0.043961,,{'get_tweets': 0.04360699653625488}
10,0.287,1390920287,user_group-2,0.134945,,{'post_tweet': 0.10351800918579102, 'get_tweets': 0.030789852142333984}
11,0.327,1390920287,user_group-1,0.047909,,{'get_tweets': 0.04757499694824219}
12,0.437,1390920287,user_group-2,0.197314,,{'post_tweet': 0.15758609771728516, 'get_tweets': 0.03913402557373047}
13,0.444,1390920287,user_group-2,0.226452,,{'post_tweet': 0.17815709114074707, 'get_tweets': 0.047712087631225586}
14,0.473,1390920287,user_group-1,0.145571,,{'get_tweets': 0.14525103569030762}
15,0.507,1390920287,user_group-2,0.219611,,{'post_tweet': 0.16259288787841797, 'get_tweets': 0.05643296241760254}
16,0.509,1390920287,user_group-1,0.036084,,{'get_tweets': 0.03585982322692871}
17,0.548,1390920288,user_group-1,0.038868,,{'get_tweets': 0.03862905502319336}
18,0.576,1390920288,user_group-2,0.138694,,{'post_tweet': 0.0918419361114502, 'get_tweets': 0.04623699188232422}
19,0.599,1390920288,user_group-1,0.050803,,{'get_tweets': 0.050469160079956055}
20,0.741,1390920288,user_group-2,0.295930,,{'post_tweet': 0.21085596084594727, 'get_tweets': 0.08434104919433594}
21,0.743,1390920288,user_group-2,0.278834,,{'post_tweet': 0.24898409843444824, 'get_tweets': 0.0292510986328125}
22,0.745,1390920288,user_group-2,0.393332,,{'post_tweet': 0.2568550109863281, 'get_tweets': 0.13588809967041016}
23,0.805,1390920288,user_group-1,0.206278,,{'get_tweets': 0.2060229778289795}
24,1.000,1390920288,user_group-2,0.493165,,{'post_tweet': 0.271716833114624, 'get_tweets': 0.2208850383758545}
25,1.031,1390920288,user_group-1,0.225141,,{'get_tweets': 0.2248990535736084}
26,1.036,1390920288,user_group-2,0.459619,,{'post_tweet': 0.2612490653991699, 'get_tweets': 0.1976158618927002}
27,1.048,1390920288,user_group-2,0.471106,,{'post_tweet': 0.2682640552520752, 'get_tweets': 0.20225286483764648}
28,1.254,1390920288,user_group-2,0.452676,,{'post_tweet': 0.2337970733642578, 'get_tweets': 0.2183239459991455}
29,1.258,1390920288,user_group-2,0.568722,,{'post_tweet': 0.4347341060638428, 'get_tweets': 0.13343596458435059}
30,1.259,1390920288,user_group-2,0.513570,,{'post_tweet': 0.4342939853668213, 'get_tweets': 0.07870197296142578}
31,1.264,1390920288,user_group-2,0.523018,,{'post_tweet': 0.46274614334106445, 'get_tweets': 0.059201955795288086}
32,1.279,1390920288,user_group-2,0.535786,,{'post_tweet': 0.45753002166748047, 'get_tweets': 0.07711386680603027}
33,1.287,1390920288,user_group-1,0.265765,,{'get_tweets': 0.2655160427093506}
34,1.327,1390920288,user_group-1,0.295796,,{'get_tweets': 0.2955660820007324}
35,1.403,1390920288,user_group-2,0.402394,,{'post_tweet': 0.1541459560394287, 'get_tweets': 0.24767684936523438}
36,1.455,1390920288,user_group-1,0.167723,,{'get_tweets': 0.1674940586090088}
37,1.503,1390920288,user_group-1,0.176611,,{'get_tweets': 0.17638492584228516}
38,1.557,1390920289,user_group-2,0.520875,,{'post_tweet': 0.23976492881774902, 'get_tweets': 0.28053808212280273}
39,1.568,1390920289,user_group-2,0.655472,,{'post_tweet': 0.27034783363342285, 'get_tweets': 0.3845200538635254}
40,1.644,1390920289,user_group-2,0.595300,,{'post_tweet': 0.309844970703125, 'get_tweets': 0.2848348617553711}
41,1.656,1390920289,user_group-2,0.405981,,{'post_tweet': 0.27971696853637695, 'get_tweets': 0.12559199333190918}
42,1.658,1390920289,user_group-2,0.632742,,{'post_tweet': 0.2974398136138916, 'get_tweets': 0.33470892906188965}
43,1.661,1390920289,user_group-2,0.406335,,{'post_tweet': 0.28082799911499023, 'get_tweets': 0.12497997283935547}
44,1.691,1390920289,user_group-2,0.553639,,{'post_tweet': 0.34526681900024414, 'get_tweets': 0.20777082443237305}
45,1.718,1390920289,user_group-2,0.458528,,{'post_tweet': 0.3013441562652588, 'get_tweets': 0.15630507469177246}
46,1.756,1390920289,user_group-1,0.301165,,{'get_tweets': 0.3009340763092041}
